|Num|In_address|Pr_address|Pr_vaild|Real_address|Accurate|
|  0|         0|         0|    true|           1|   false|
|  1|         1|         0|   false|           4|    None|
|  2|         4|         0|   false|           9|    None|
|  3|         9|         0|   false|          20|    None|
|  4|        20|         0|   false|          42|    None|
|  5|        42|         0|   false|          85|    None|
|  6|        85|         0|   false|         171|    None|
|  7|       171|         0|   false|         343|    None|
|  8|       343|         0|   false|         687|    None|
|  9|       687|         0|   false|        1375|    None|
| 10|      1375|         0|   false|        2752|    None|
| 11|      2752|         0|   false|        5505|    None|
| 12|      5505|         0|   false|       11012|    None|
| 13|     11012|         0|   false|       22025|    None|
| 14|     22025|         0|   false|       44051|    None|
| 15|     44051|         0|   false|       88104|    None|
|  0|         0|         0|   false|           1|    None|
|  1|         1|         0|   false|           4|    None|
|  2|         4|         0|   false|           9|    None|
|  3|         9|         0|   false|          20|    None|
|  4|        20|         0|   false|          42|    None|
|  5|        42|         0|   false|          85|    None|
|  6|        85|         0|   false|         171|    None|
|  7|       171|         0|   false|         343|    None|
|  8|       343|         0|   false|         687|    None|
|  9|       687|         0|   false|        1375|    None|
| 10|      1375|         0|   false|        2752|    None|
| 11|      2752|         0|   false|        5505|    None|
| 12|      5505|         0|   false|       11012|    None|
| 13|     11012|         0|   false|       22025|    None|
| 14|     22025|         0|   false|       44051|    None|
| 15|     44051|         0|   false|       88104|    None|
|  0|         0|         0|   false|           1|    None|
|  1|         1|         0|   false|           4|    None|
|  2|         4|         0|   false|           9|    None|
|  3|         9|         0|   false|          20|    None|
|  4|        20|         0|   false|          42|    None|
|  5|        42|         0|   false|          85|    None|
|  6|        85|         0|   false|         171|    None|
|  7|       171|         0|   false|         343|    None|
|  8|       343|         0|   false|         687|    None|
|  9|       687|         0|   false|        1375|    None|
| 10|      1375|         0|   false|        2752|    None|
| 11|      2752|         0|   false|        5505|    None|
| 12|      5505|         0|   false|       11012|    None|
| 13|     11012|         0|   false|       22025|    None|
| 14|     22025|         0|   false|       44051|    None|
| 15|     44051|         0|   false|       88104|    None|
